PrimaryKey,Index Value
1.0,80
2.0,2083
3.0,2795
4.0,3185
5.0,4495
6.0,5358
7.0,5633
9.0,5957
10.0,13019980
12.0,6220
13.0,6741
14.0,6984
15.0,7415
17.0,7735
18.0,8096
19.0,8809
20.0,9076
21.0,9786
22.0,10180
23.0,11783275
24.0,11135
25.0,11613
26.0,12378
27.0,12989
28.0,14055
29.0,14333
30.0,14827
31.0,15318
32.0,15584
33.0,16090
34.0,16557
35.0,16895
36.0,17273
37.0,17757
38.0,18013
39.0,18522
40.0,20016
41.0,20798
42.0,21488
43.0,22618
44.0,23384
46.0,23655
47.0,24247
48.0,26110
50.0,26570
51.0,26950
52.0,27364
55.0,27969
57.0,28266
58.0,28687
59.0,29249
60.0,29596
61.0,30118
62.0,31023
63.0,31261
64.0,31852
65.0,32215
66.0,32486
67.0,32808
68.0,33240
69.0,33998
70.0,34361
71.0,34919
72.0,35457
73.0,35760
74.0,36096
75.0,36700
77.0,37717
78.0,38153
79.0,38424
80.0,38876
81.0,39150
83.0,39506
84.0,40109
85.0,40480
87.0,40932
88.0,41515
89.0,41987
90.0,42375
91.0,42704
92.0,43497
93.0,43868
94.0,44183
95.0,46132
96.0,46503
98.0,47267
99.0,47683
100.0,48344
101.0,48761
102.0,49077
103.0,49590
104.0,50188
105.0,50482
107.0,50735
108.0,51307
109.0,51770
110.0,52187
111.0,52444
112.0,52717
114.0,53389
115.0,53669
116.0,54177
117.0,54579
118.0,54892
119.0,55409
120.0,56244
121.0,56761
122.0,57470
123.0,57755
124.0,57997
125.0,58779
126.0,59527
127.0,59937
128.0,60304
129.0,60707
130.0,61143
131.0,61695
132.0,62012
133.0,62423
135.0,63014
136.0,64040
138.0,64447
139.0,64693
140.0,65193
143.0,65463
144.0,65834
145.0,66209
146.0,66468
147.0,66784
148.0,67834
149.0,68168
150.0,68518
151.0,70052
152.0,70679
153.0,71341
154.0,71839
155.0,72134
156.0,72406
157.0,72920
158.0,73538
159.0,74806
160.0,75168
161.0,75499
162.0,75870
163.0,76226
164.0,76621
165.0,77041
166.0,77375
167.0,77932
168.0,78281
170.0,78758
171.0,79050
172.0,79508
173.0,80207
