secondarykey,Index Value
2.5,6264085
2.5,5273983
2.5,5255533
2.5,5239759
2.5,5151567
2.5,5146146
2.5,5145142
2.5,5136804
2.5,5041856
2.5,4762125
2.5,4743431
2.5,4664342
2.5,4537629
2.5,4332983
2.5,5300512
2.5,4212907
2.5,3927104
2.5,3615850
2.5,3601770
2.5,112077
2.5,3482844
2.5,3446777
2.5,3282513
2.5,3282385
2.5,3187389
2.5,3107848
2.5,3037322
2.5,2965120
2.5,2899936
2.5,4150752
2.5,5433461
2.5,5493520
2.5,5554880
2.5,8520631
2.5,8466768
2.5,8264086
2.5,8220609
2.5,8036111
2.5,8005389
2.5,7960197
2.5,7468806
2.5,7359649
2.5,7347343
2.5,7244632
2.5,7212049
2.5,7181703
2.5,6866824
2.5,6847436
2.5,6737799
2.5,6702365
2.5,6683116
2.5,6639112
2.5,6621770
2.5,6581120
2.5,6568794
2.5,6560263
2.5,6542990
2.5,6541982
2.5,6530654
2.5,6527615
2.5,6517554
2.5,6468462
2.5,2845017
2.5,2839816
2.5,2835507
2.5,2823294
2.5,2032460
2.5,2020318
2.5,2013635
2.5,1845752
2.5,1815123
2.5,1744204
2.5,1621489
2.5,1576334
2.5,1495429
2.5,1331308
2.5,1270206
2.5,1095910
2.5,957217
2.5,954347
2.5,933460
2.5,902255
2.5,898133
2.5,886212
2.5,878088
2.5,865819
2.5,830194
2.5,822882
2.5,822651
2.5,774289
2.5,744253
2.5,678202
2.5,650778
2.5,598921
2.5,597281
2.5,2092322
2.5,8597501
2.5,2129252
2.5,2227803
2.5,2790790
2.5,2784201
2.5,2780531
2.5,2779316
2.5,2721612
2.5,2720375
2.5,2712726
2.5,2707726
2.5,2700943
2.5,2696202
2.5,119050
2.5,2694399
2.5,2675579
2.5,2673238
2.5,2640998
2.5,2636753
2.5,2635529
2.5,2588437
2.5,2574744
2.5,2519989
2.5,2515345
2.5,2466721
2.5,2442798
2.5,2388884
2.5,2381020
2.5,2360167
2.5,2321008
2.5,2316144
2.5,2295121
2.5,2197724
2.5,8615392
2.5,302136
2.5,8688959
2.5,10328484
2.5,10328381
2.5,10075718
2.5,12718959
2.5,12719813
2.5,10053521
2.5,12727617
2.5,12750487
2.5,12759696
2.5,10019711
2.5,10007085
2.5,9981366
2.5,9936468
2.5,9890841
2.5,9832137
2.5,10452206
2.5,10789843
2.5,10809481
2.5,10839532
2.5,12224333
2.5,12255796
2.5,12266282
2.5,12301264
2.5,11858861
2.5,12373203
2.5,11689603
2.5,9829983
2.5,11385656
2.5,11322474
2.5,11198455
2.5,12472244
2.5,12485686
2.5,12527553
2.5,12601952
2.5,11137824
2.5,12388764
2.5,9823779
2.5,12725476
2.5,8816959
2.5,9306716
2.5,8771281
2.5,8898880
2.5,66784
2.5,13019368
2.5,12823129
2.5,12821831
2.5,12835855
2.5,8706710
2.5,12795553
2.5,12811441
2.5,12811302
2.5,12778751
2.5,12811921
2.9,12920173
2.9,2347056
2.9,22618
2.9,2545646
2.9,2525690
2.9,12934737
2.9,2368003
2.9,780380
2.9,2523920
2.9,750362
2.9,121366
2.9,738140
2.9,1041221
2.9,2593220
2.9,2799971
2.9,12112737
2.9,12147253
2.9,2740504
2.9,2740250
2.9,12219667
2.9,723159
2.9,564144
2.9,2686186
2.9,12351574
2.9,2640858
2.9,12992617
2.9,2318399
2.9,719560
2.9,2698367
2.9,640731
2.9,2214983
2.9,2250832
2.9,12096427
2.9,858811
2.9,1665019
2.9,1646320
2.9,1583840
2.9,1287737
2.9,12720078
2.9,12812669
2.9,12771197
2.9,1178172
2.9,920885
2.9,953211
2.9,1107771
2.9,1093845
2.9,896016
2.9,784378
2.9,856531
2.9,842918
2.9,2231594
2.9,12645075
2.9,804770
2.9,2202497
2.9,12682153
2.9,2188689
2.9,1947228
2.9,805605
2.9,2097467
2.9,12863233
2.9,2053002
2.9,2039515
2.9,12718512
2.9,839562
2.9,12898278
2.9,2836600
2.9,2935768
2.9,5238963
2.9,9629425
2.9,6694107
2.9,9809877
2.9,9893566
2.9,9982422
2.9,6441810
2.9,485168
2.9,6169715
2.9,6150008
2.9,6105497
2.9,5998722
2.9,5840718
2.9,5725804
2.9,5512663
2.9,10054282
2.9,10068442
2.9,5291945
2.9,10327173
2.9,10764685
2.9,5117435
2.9,10814427
2.9,6703917
2.9,6735547
2.9,9590356
2.9,6742151
2.9,8560109
2.9,8502983
2.9,8336445
2.9,8261621
2.9,8786552
2.9,8048228
2.9,8795093
2.9,8814531
2.9,7975941
2.9,7974198
2.9,10933316
2.9,7861935
2.9,7847716
2.9,7618744
2.9,7618329
2.9,9158667
2.9,9180633
2.9,9184282
2.9,7175227
2.9,7076586
2.9,9537861
2.9,9582425
2.9,78758
2.9,4674384
2.9,80
2.9,4624751
2.9,11165754
2.9,3661746
2.9,11291455
2.9,3001024
2.9,3017866
2.9,3563579
